Age,Gender,Education Level,Job Title,Years of Experience,Salary
23,Female,Bachelor's,IT Consultant,2.6,57600
25,Female,Bachelor's,Data Analyst,3.8,73100
24,Female,Bachelor's,Database Administrator,4.9,73000
29,Male,Master's,IT Project Manager,6.8,100400
20,Male,Bachelor's,Junior Cybersecurity Analyst,0.6,30200
24,Female,Master's,Backend Developer,5.0,86900
23,Male,Master's,IT Consultant,3.2,67000
24,Male,Master's,Frontend Developer,2.5,52700
25,Female,Bachelor's,Mobile App Developer,5.6,85200
48,Male,PhD,Director of Software Development,25.3,275600
29,Male,PhD,Senior IT Consultant,10.5,162400
37,Male,Master's,Director of Data Science,16.0,200200
24,Female,Bachelor's,Cloud Support Engineer,2.5,46900
41,Female,Bachelor's,Chief Technology Officer,22.5,227800
24,Female,Master's,Junior Business Intelligence Analyst,1.9,50600
26,Female,Bachelor's,Software Test Engineer,5.0,84500
23,Male,Master's,Database Administrator,2.3,48100
20,Male,Bachelor's,Junior Cybersecurity Analyst,0.9,37200
32,Female,Master's,Senior Backend Developer,8.7,114800
26,Male,PhD,Network Engineer,4.8,91700
25,Female,Master's,Database Administrator,4.2,70300
25,Female,Bachelor's,Software Engineer,4.2,68500
47,Female,Bachelor's,VP of Data & Analytics,27.9,253500
23,Male,Bachelor's,Junior Software Developer,0.0,25800
27,Female,PhD,Platform Engineer,8.0,118900
33,Male,Bachelor's,Senior Data Engineer,10.2,142500
23,Male,Bachelor's,UI/UX Designer,4.4,71300
28,Male,Bachelor's,Senior UI/UX Designer,8.9,128000
21,Male,Bachelor's,Junior Database Administrator,0.7,32200
24,Female,PhD,Database Administrator,2.5,62600
28,Male,Master's,IT Business Analyst,6.0,90900
26,Male,PhD,Full Stack Developer,4.7,87900
26,Male,Bachelor's,Cloud Support Engineer,5.2,79300
31,Male,PhD,Senior Software Engineer,8.1,130800
26,Male,Master's,Information Security Analyst,6.3,93800
43,Male,Master's,Director of Software Development,23.4,251100
39,Female,Bachelor's,Infrastructure Manager,16.9,179300
31,Female,Bachelor's,Machine Learning Engineer,11.0,146300
40,Female,Bachelor's,Solutions Architect,17.3,188900
32,Male,Bachelor's,Data Engineer,9.6,122900
25,Male,PhD,Full Stack Developer,3.2,71600
26,Male,Master's,System Administrator,3.3,73200
26,Female,Bachelor's,Technical Support Engineer,3.8,72200
22,Male,Master's,Full Stack Developer,3.5,71400
26,Male,Bachelor's,Cybersecurity Analyst,3.9,66400
23,Male,Master's,DevOps Engineer,3.0,61800
24,Female,PhD,Web Developer,2.6,58500
22,Female,Master's,Frontend Developer,2.2,48900
23,Male,Bachelor's,Junior DevOps Engineer,0.9,34500
21,Male,Bachelor's,Junior Data Analyst,1.8,43600
31,Male,Master's,Senior Mobile App Developer,10.1,142800
22,Male,Bachelor's,Junior Data Analyst,1.4,39500
25,Female,Bachelor's,Business Intelligence Analyst,3.5,61900
29,Female,Master's,Site Reliability Engineer,7.7,109000
34,Female,Bachelor's,Site Reliability Engineer,10.9,147500
24,Female,Bachelor's,QA Engineer,3.4,62100
28,Male,Bachelor's,Data Analyst,5.7,86100
40,Male,Master's,Chief Information Officer,20.9,205800
33,Female,Bachelor's,Principal Engineer,11.4,133300
30,Male,Bachelor's,Senior Cloud Engineer,10.7,136400
39,Male,PhD,Head of Cloud Infrastructure,17.4,211400
23,Female,Master's,Software Test Engineer,4.5,82100
20,Male,Bachelor's,Junior Web Developer,0.1,27800
38,Male,Master's,IT Program Manager,17.3,192500
26,Female,Bachelor's,IT Business Analyst,2.7,61600
22,Female,Master's,Business Intelligence Analyst,3.7,76300
23,Female,Master's,Junior DevOps Engineer,1.1,40600
29,Female,PhD,Senior IT Consultant,8.4,131300
23,Female,Bachelor's,Junior Data Analyst,0.1,27600
31,Male,Master's,Lead Data Engineer,11.0,141800
26,Female,Bachelor's,UI/UX Designer,5.8,87800
26,Male,PhD,Technical Support Engineer,3.3,71200
21,Female,Master's,Junior Cloud Support Engineer,1.8,48600
26,Male,Bachelor's,Software Test Engineer,3.1,61000
35,Female,Bachelor's,Solutions Architect,16.5,175900
37,Female,Master's,IT Program Manager,15.0,177700
44,Female,Bachelor's,Director of Software Development,21.4,195100
29,Female,Master's,Platform Engineer,6.3,99500
31,Male,Bachelor's,Senior Cybersecurity Analyst,7.9,115000
31,Male,Bachelor's,Senior System Administrator,10.8,146500
41,Male,Bachelor's,Director of Software Development,19.0,182600
32,Male,Master's,IT Program Manager,10.1,141100
31,Male,Bachelor's,Cloud Solutions Architect,10.4,136700
29,Female,PhD,Data Scientist,8.7,129500
21,Male,Master's,Junior Cloud Support Engineer,1.4,45500
36,Female,Master's,IT Program Manager,15.2,180800
31,Male,Master's,Data Engineer,10.9,151900
29,Female,Bachelor's,Senior Mobile App Developer,6.9,95900
23,Female,PhD,System Administrator,3.9,75800
24,Female,Master's,Technical Support Engineer,3.8,70500
23,Male,Master's,UI/UX Designer,3.3,66600
27,Female,Bachelor's,Software Test Engineer,5.9,88000
29,Male,PhD,Senior UI/UX Designer,7.0,117500
30,Female,Master's,Machine Learning Engineer,10.4,144300
36,Male,Bachelor's,Database Manager,17.6,181300
23,Male,PhD,Junior Data Analyst,0.4,38100
39,Female,Master's,Lead Data Scientist,17.7,199200
27,Male,Bachelor's,Network Engineer,5.1,82000
24,Female,Bachelor's,Junior Cybersecurity Analyst,1.6,43500
25,Male,Bachelor's,System Administrator,5.2,82700
26,Female,Bachelor's,Senior Frontend Developer,6.4,98700
26,Male,Bachelor's,Software Test Engineer,2.8,52400
34,Female,Master's,Senior Mobile App Developer,11.7,162400
34,Female,Master's,VP of Engineering,15.2,194400
28,Female,Bachelor's,Senior Automation Engineer,7.4,119200
22,Male,Master's,QA Engineer,2.0,51200
21,Male,Master's,Junior Database Administrator,1.6,43500
34,Male,Master's,QA Manager,14.6,169900
23,Male,Bachelor's,Full Stack Developer,4.4,78300
26,Male,Master's,Cloud Support Engineer,4.3,76800
30,Male,Master's,Site Reliability Engineer,7.1,101600
38,Female,Master's,QA Manager,15.5,181300
30,Female,Master's,Senior QA Engineer,10.1,148200
32,Female,Bachelor's,Senior Data Engineer,9.7,123700
23,Male,Bachelor's,UI/UX Designer,2.1,49500
31,Male,Master's,Site Reliability Engineer,9.7,143900
36,Male,Master's,Lead Software Engineer,14.7,179800
35,Male,PhD,Lead Data Engineer,14.1,180200
25,Female,Bachelor's,Network Engineer,4.5,80200
24,Male,PhD,DevOps Engineer,3.3,74700
27,Male,Master's,Data Scientist,6.5,94700
33,Male,Bachelor's,Principal Cloud Architect,11.6,136700
32,Male,Bachelor's,Senior Cybersecurity Analyst,9.3,123700
28,Female,Bachelor's,Senior Cloud Engineer,7.4,107100
28,Male,Bachelor's,Senior QA Engineer,7.3,107400
28,Female,Bachelor's,Senior Frontend Developer,7.9,102000
23,Male,Master's,IT Consultant,3.4,66600
28,Female,Master's,DevOps Engineer,5.8,98900
26,Female,Master's,Site Reliability Engineer,7.4,110800
25,Female,Master's,Frontend Developer,5.5,86100
31,Male,Master's,Network Manager,12.2,156400
25,Female,Bachelor's,Backend Developer,4.8,84200
31,Male,Master's,Senior Data Engineer,9.4,134200
30,Male,Master's,Senior Web Developer,6.9,106700
45,Male,PhD,VP of Data & Analytics,24.7,264700
24,Female,Bachelor's,Data Analyst,2.6,60700
30,Female,Master's,Site Reliability Engineer,8.3,131100
34,Female,Master's,Principal Cloud Architect,13.4,171400
20,Male,Bachelor's,Junior DevOps Engineer,0.2,26900
30,Female,Master's,Senior Network Engineer,10.8,153500
20,Male,Bachelor's,Junior Cloud Support Engineer,1.6,38000
24,Female,Bachelor's,Junior Data Analyst,1.3,39700
32,Male,Bachelor's,Senior Database Administrator,11.2,148900
32,Male,PhD,Senior Full Stack Developer,9.1,131400
33,Female,Master's,Senior System Administrator,11.9,161400
29,Male,Bachelor's,Senior Full Stack Developer,9.1,127600
23,Female,Master's,Junior Software Developer,1.5,46700
25,Female,PhD,Database Administrator,3.2,67400
22,Female,Bachelor's,Junior Network Technician,2.0,45600
26,Male,Bachelor's,QA Engineer,3.0,59300
25,Female,Master's,DevOps Engineer,4.9,89300
19,Male,Bachelor's,Junior Data Analyst,0.2,30000
26,Male,PhD,Software Engineer,5.9,103400
31,Male,Bachelor's,Senior Data Analyst,8.8,127900
23,Female,Bachelor's,Trainee Software Engineer,0.2,28000
25,Female,Bachelor's,Frontend Developer,5.6,90700
21,Male,Bachelor's,Trainee Software Engineer,0.6,30900
24,Female,Bachelor's,UI/UX Designer,4.4,72800
30,Male,PhD,Senior Full Stack Developer,9.8,148700
23,Male,Bachelor's,UI/UX Designer,3.0,64900
26,Female,Master's,Mobile App Developer,3.7,77900
28,Male,Master's,Senior Web Developer,6.7,96100
26,Female,Bachelor's,Cybersecurity Analyst,4.4,73500
36,Female,Master's,Technical Program Manager,14.5,171700
22,Female,PhD,Junior QA Tester,0.5,32800
21,Male,Bachelor's,Junior Web Developer,1.2,37400
26,Male,Master's,Backend Developer,3.8,70000
21,Male,Master's,Mobile App Developer,2.5,62300
33,Female,Master's,Senior UI/UX Designer,10.8,153300
24,Female,Bachelor's,Junior Data Analyst,1.5,41100
24,Male,Master's,Software Engineer,5.1,94800
26,Female,Master's,Data Analyst,5.7,93800
25,Male,Bachelor's,QA Engineer,4.0,66400
29,Male,Bachelor's,Senior Data Engineer,9.0,109200
27,Male,Bachelor's,Data Analyst,4.7,83800
27,Female,Bachelor's,Database Administrator,5.5,83100
23,Male,Master's,Junior Mobile App Developer,1.6,45100
26,Male,Bachelor's,Technical Support Engineer,3.3,63900
38,Female,Master's,IT Program Manager,17.7,196800
25,Female,Bachelor's,Automation Engineer,3.3,63300
23,Male,Bachelor's,Junior Mobile App Developer,1.9,43300
22,Male,Bachelor's,Mobile App Developer,2.2,55200
22,Male,PhD,IT Business Analyst,2.6,60100
23,Female,Master's,Junior Cloud Support Engineer,0.8,37600
23,Male,Master's,Business Intelligence Analyst,2.5,59200
32,Male,PhD,Principal Cloud Architect,13.0,175900
20,Female,Master's,Junior Business Intelligence Analyst,1.2,38300
23,Male,Bachelor's,Junior System Administrator,0.4,30500
37,Male,Master's,Lead Software Engineer,16.7,186600
20,Male,Bachelor's,Junior Network Technician,0.2,27500
32,Female,Bachelor's,Lead Data Engineer,13.0,147900
24,Female,Bachelor's,Junior Cybersecurity Analyst,1.9,46000
37,Female,Master's,Chief Technology Officer,18.2,212500
25,Male,PhD,Business Intelligence Analyst,4.3,80800
33,Female,Bachelor's,Senior Full Stack Developer,11.7,148800
26,Male,Bachelor's,Senior Data Engineer,7.3,97700
30,Female,Bachelor's,Senior DevOps Engineer,7.7,122000
28,Female,Bachelor's,Business Intelligence Analyst,5.4,90800
24,Male,Bachelor's,Help Desk Technician,1.7,43900
25,Female,Master's,Database Administrator,2.5,61800
23,Female,Bachelor's,Junior Cloud Support Engineer,1.9,44100
32,Female,Bachelor's,Senior Cloud Engineer,11.7,153600
26,Female,Master's,DevOps Engineer,4.8,87600
27,Female,Bachelor's,Senior Full Stack Developer,7.9,106300
24,Female,Bachelor's,IT Consultant,5.6,85100
33,Male,Bachelor's,Senior Software Engineer,10.4,132500
22,Male,Master's,Junior Software Developer,0.1,29600
22,Female,Bachelor's,DevOps Engineer,3.3,57900
25,Female,Master's,Mobile App Developer,5.5,95500
27,Female,Master's,Business Intelligence Analyst,4.8,85000
28,Male,Bachelor's,Senior Full Stack Developer,6.2,86600
19,Male,Master's,IT Support Technician,0.3,28900
32,Male,Master's,Senior Cloud Engineer,11.0,157600
28,Male,Bachelor's,Senior Web Developer,6.7,88000
31,Female,Master's,Senior Database Administrator,9.7,143300
27,Male,PhD,Cloud Solutions Architect,7.7,133100
35,Female,Master's,Solutions Architect,12.6,158000
21,Male,Bachelor's,Help Desk Technician,1.4,38500
35,Female,PhD,Lead Data Engineer,13.9,182200
25,Male,Master's,Database Administrator,4.9,82000
22,Female,Master's,Junior Data Analyst,0.8,37500
23,Male,Bachelor's,Mobile App Developer,3.9,71200
29,Female,Master's,Senior Cybersecurity Analyst,8.4,118000
29,Female,Bachelor's,Cloud Solutions Architect,8.6,117800
25,Male,Bachelor's,IT Business Analyst,5.7,90000
25,Female,Bachelor's,Cybersecurity Analyst,3.6,60600
30,Male,Master's,Senior Database Administrator,7.2,108500
23,Male,Bachelor's,Technical Support Engineer,3.8,67300
38,Female,Bachelor's,Director of Engineering,17.4,190100
19,Female,PhD,Junior Network Technician,0.4,35500
29,Male,Master's,Information Security Analyst,6.7,111500
45,Male,PhD,Director of Cybersecurity,25.7,270800
29,Male,Bachelor's,Platform Engineer,8.8,115800
25,Female,Master's,System Administrator,4.0,75100
25,Male,Bachelor's,Software Test Engineer,3.2,63900
26,Male,Master's,System Administrator,5.3,87800
24,Male,Bachelor's,Automation Engineer,4.9,81100
21,Male,Master's,Junior QA Tester,0.6,33600
46,Male,Master's,Chief Information Officer,24.1,249400
36,Female,Master's,Head of Cloud Infrastructure,15.9,192900
21,Male,Master's,Junior Mobile App Developer,0.5,33800
32,Male,Bachelor's,Lead DevOps Engineer,11.9,145700
23,Female,Bachelor's,IT Business Analyst,2.2,50500
29,Female,Master's,Senior Data Engineer,7.2,107800
31,Female,PhD,Platform Engineer,8.9,139200
23,Male,Master's,Software Test Engineer,3.8,73200
26,Female,Bachelor's,Web Developer,5.8,93900
21,Female,Master's,Network Engineer,2.1,50600
22,Female,Bachelor's,Junior Cybersecurity Analyst,0.4,28500
24,Male,Master's,Frontend Developer,3.3,68400
27,Male,Bachelor's,Senior Mobile App Developer,8.3,114700
25,Male,Bachelor's,IT Business Analyst,5.3,85700
27,Female,Bachelor's,Technical Support Engineer,4.4,76300
21,Male,Bachelor's,Full Stack Developer,2.7,60100
25,Female,Bachelor's,Frontend Developer,5.5,85000
23,Female,Bachelor's,Junior System Administrator,0.0,23800
23,Female,Bachelor's,Junior DevOps Engineer,1.3,39600
31,Female,Master's,Senior Data Engineer,8.5,120500
26,Female,Bachelor's,QA Engineer,3.9,65200
21,Female,Bachelor's,Junior Web Developer,1.8,45500
23,Male,Master's,UI/UX Designer,2.5,56200
23,Female,Master's,IT Consultant,3.5,66000
28,Male,Master's,Data Scientist,8.8,132000
29,Female,PhD,Senior Data Analyst,10.1,156600
26,Female,Master's,System Administrator,4.2,79600
30,Female,Master's,Senior UI/UX Designer,10.7,152700
29,Female,PhD,Cloud Solutions Architect,7.2,113600
31,Female,PhD,Lead Software Engineer,10.6,154500
31,Male,Master's,Senior Cybersecurity Analyst,10.4,161400
23,Male,Master's,QA Engineer,2.5,54900
21,Female,Bachelor's,Junior Business Intelligence Analyst,1.5,42600
21,Male,Bachelor's,Junior Software Developer,0.7,33500
34,Male,Master's,Senior Network Engineer,11.4,160700
24,Male,Bachelor's,Frontend Developer,3.7,66500
23,Female,Bachelor's,UI/UX Designer,2.4,52100
20,Female,Bachelor's,Junior Business Intelligence Analyst,1.0,35100
27,Female,Bachelor's,Data Analyst,4.5,77800
25,Female,Bachelor's,Network Engineer,2.8,51200
38,Male,Master's,VP of Engineering,17.2,193900
24,Male,Bachelor's,Technical Support Engineer,3.6,65300
39,Female,Master's,Database Manager,17.2,187800
23,Female,Bachelor's,Help Desk Technician,0.7,34100
33,Male,Bachelor's,Data Engineer,11.5,154000
30,Female,Master's,Senior Network Engineer,11.2,165800
40,Male,PhD,Director of IT,19.2,235200
22,Male,Bachelor's,Junior Software Developer,1.0,37000
27,Male,Bachelor's,QA Engineer,5.6,88000
27,Male,Bachelor's,Mobile App Developer,4.2,75400
26,Male,Master's,Business Intelligence Analyst,4.4,80000
24,Female,Bachelor's,Junior DevOps Engineer,1.1,34900
32,Male,PhD,Lead Data Scientist,12.4,172400
23,Female,Bachelor's,QA Engineer,2.3,49600
22,Female,Master's,Junior Web Developer,1.3,42200
22,Male,Bachelor's,Junior Web Developer,0.8,34000
24,Female,Bachelor's,Web Developer,5.6,85000
23,Female,Bachelor's,System Administrator,2.8,56000
34,Female,Bachelor's,Senior Cybersecurity Analyst,11.2,139200
25,Female,Bachelor's,Automation Engineer,4.0,66700
32,Female,Master's,Senior DevOps Engineer,11.4,168200
27,Male,Master's,Senior Data Engineer,7.8,118600
27,Female,Master's,Senior QA Engineer,8.6,123100
24,Male,Master's,Data Analyst,3.9,72600
36,Female,Master's,QA Manager,15.3,176800
23,Male,Bachelor's,Web Developer,3.8,68900
31,Female,Master's,Senior Data Engineer,9.3,133700
25,Male,Bachelor's,Database Administrator,4.8,79400
22,Male,Bachelor's,Junior Database Administrator,1.0,35800
25,Female,Master's,DevOps Engineer,5.3,86400
27,Male,Master's,Data Analyst,4.0,73800
24,Male,Bachelor's,Software Engineer,3.8,69600
23,Female,PhD,IT Business Analyst,3.3,77100
28,Female,Bachelor's,Senior Cloud Engineer,9.0,118600
24,Male,Bachelor's,Backend Developer,3.8,67500
23,Male,Master's,Software Test Engineer,4.6,86800
39,Male,PhD,Solutions Architect,16.6,203800
,,,,,
23,Male,PhD,IT Support Technician,1.5,47300
32,Male,Bachelor's,Lead Data Engineer,12.7,145300
22,Male,Bachelor's,Junior Data Analyst,0.8,31700
23,Male,Bachelor's,Junior Database Administrator,1.4,42700
21,Female,Master's,Junior Mobile App Developer,1.3,44500
27,Male,Bachelor's,Network Engineer,5.2,82200
20,Female,Bachelor's,Junior Cybersecurity Analyst,1.8,43200
30,Male,Master's,Site Reliability Engineer,10.6,143500
23,Female,Master's,Cybersecurity Analyst,3.1,68600
21,Female,Bachelor's,Junior Network Technician,1.2,40500
50,Male,PhD,VP of Information Technology,27.8,296600
22,Male,Bachelor's,Software Engineer,2.9,53600
21,Male,Master's,Junior Data Analyst,1.4,43700
33,Female,Master's,Cloud Solutions Architect,11.4,160100
27,Male,Master's,Automation Engineer,3.9,77600
20,Female,Bachelor's,Junior UI/UX Designer,0.9,33000
25,Female,Master's,System Administrator,5.0,91300
21,Male,Bachelor's,Junior QA Tester,0.7,33200
25,Female,Bachelor's,Automation Engineer,2.5,54600
23,Female,Bachelor's,Technical Support Engineer,3.1,61400
37,Female,Master's,Lead DevOps Engineer,15.2,183300
34,Male,Master's,IT Program Manager,11.3,144200
19,Female,Bachelor's,Junior Web Developer,0.1,24800
32,Male,Master's,Senior Network Engineer,11.8,159700
29,Male,Bachelor's,Senior Web Developer,9.9,126500
34,Female,Master's,Network Manager,13.3,161700
44,Female,Bachelor's,VP of Engineering,22.6,221200
20,Female,Bachelor's,Junior Business Intelligence Analyst,0.1,27400
23,Male,PhD,Full Stack Developer,2.6,60100
23,Female,Master's,DevOps Engineer,2.7,51600
23,Male,Master's,Software Engineer,4.0,82000
32,Female,Master's,Data Engineer,9.5,134300
30,Female,Bachelor's,Platform Engineer,8.3,108600
36,Female,Master's,IT Program Manager,15.5,177100
26,Female,Master's,IT Consultant,3.0,69300
27,Male,Master's,Web Developer,4.6,80100
26,Male,Master's,Senior Network Engineer,6.2,101800
23,Female,Master's,Frontend Developer,4.5,85300
24,Male,Bachelor's,Junior Database Administrator,1.3,40100
36,Male,Master's,Lead Data Engineer,15.5,180000
20,Female,Master's,Help Desk Technician,1.0,41100
23,Female,Master's,Data Analyst,2.8,59100
24,Female,Bachelor's,Network Engineer,4.1,74500
,,,,,
27,Male,Master's,Database Administrator,4.4,78200
27,Female,Master's,IT Consultant,5.5,89500
26,Male,Bachelor's,Senior Software Engineer,7.1,94000
37,Female,PhD,Solutions Architect,15.3,187100
22,Female,PhD,Automation Engineer,2.6,68700
25,Female,Master's,Technical Support Engineer,5.0,82900
31,Male,Bachelor's,Senior Backend Developer,10.1,139200
29,Male,Master's,Senior Database Administrator,7.1,116700
24,Female,Bachelor's,Full Stack Developer,3.2,62800
26,Female,Bachelor's,Web Developer,5.0,82500
20,Male,Master's,Junior Network Technician,0.6,36700
22,Female,Bachelor's,Junior Software Developer,1.1,34800
23,Male,Master's,Business Intelligence Analyst,4.2,76500
25,Female,Master's,Software Test Engineer,3.7,74200
27,Female,Master's,Software Engineer,4.2,74900
24,Female,Master's,Junior Network Technician,2.0,48300
24,Female,Bachelor's,Backend Developer,3.7,63000
23,Male,Master's,Backend Developer,2.6,66800
38,Male,Master's,Lead Data Scientist,15.8,182900
24,Male,Bachelor's,Junior DevOps Engineer,1.6,42600
31,Female,Bachelor's,Data Engineer,8.1,101300
39,Male,Bachelor's,Principal Engineer,16.5,171300
22,Male,PhD,IT Business Analyst,3.7,84100
27,Female,Master's,Full Stack Developer,4.4,79200
22,Female,Bachelor's,Business Intelligence Analyst,2.8,56100
22,Male,Bachelor's,Junior Cloud Support Engineer,0.3,29900
22,Female,Bachelor's,QA Engineer,2.7,51600
22,Male,Bachelor's,Full Stack Developer,3.6,63200
29,Female,PhD,Machine Learning Engineer,10.0,155300
26,Female,Bachelor's,Cloud Support Engineer,5.1,78300
32,Female,Master's,Senior Mobile App Developer,11.9,164400
26,Female,Master's,Senior Backend Developer,7.4,108900
22,Male,Bachelor's,Trainee Software Engineer,0.8,33200
29,Female,Master's,Machine Learning Engineer,9.8,135000
32,Male,Bachelor's,Cloud Solutions Architect,11.5,145500
25,Female,Bachelor's,QA Engineer,4.3,65600
44,Male,Bachelor's,Head of Cloud Infrastructure,24.9,231100
24,Male,Bachelor's,Software Engineer,5.3,81800
36,Female,PhD,Technical Program Manager,15.5,185600
24,Male,Master's,Frontend Developer,2.1,56300
23,Female,Master's,Software Engineer,2.4,52500
26,Male,Bachelor's,Technical Support Engineer,3.9,72300
29,Female,Bachelor's,Senior Frontend Developer,8.8,118600
27,Female,Bachelor's,Automation Engineer,4.4,73600
31,Male,Bachelor's,Senior IT Consultant,8.6,115900
26,Male,Master's,Web Developer,2.6,60100
46,Male,Master's,Director of Engineering,26.7,271100
29,Male,Master's,Senior Automation Engineer,8.1,116700
33,Female,Master's,Network Manager,12.1,152400
24,Female,Master's,Junior System Administrator,1.7,47900
27,Male,Bachelor's,Senior Backend Developer,7.5,97800
29,Male,Bachelor's,Senior Cloud Engineer,7.1,95600
22,Female,Bachelor's,Junior Network Technician,1.7,41300
27,Male,Bachelor's,Senior Backend Developer,7.8,111900
20,Female,Master's,Junior Database Administrator,0.8,40100
44,Female,Bachelor's,Director of Cybersecurity,25.3,233300
29,Male,Master's,Senior UI/UX Designer,6.5,106500
31,Male,Bachelor's,Senior Cybersecurity Analyst,9.1,125800
39,Female,PhD,Lead Cybersecurity Engineer,16.9,203800
23,Male,Bachelor's,Junior DevOps Engineer,1.6,40200
23,Male,Bachelor's,Business Intelligence Analyst,2.4,56200
27,Female,Master's,Business Intelligence Analyst,5.5,93600
32,Female,Bachelor's,QA Manager,11.2,140400
22,Female,Bachelor's,Junior Database Administrator,0.8,34800
22,Female,Bachelor's,Technical Support Engineer,3.3,64100
21,Male,Master's,Technical Support Engineer,2.4,53800
20,Male,Bachelor's,Junior Database Administrator,0.9,34100
39,Male,Bachelor's,Director of Cybersecurity,16.4,182900
28,Male,Master's,Senior Full Stack Developer,8.7,128100
39,Male,Master's,Head of Cloud Infrastructure,19.3,199800
47,Male,PhD,VP of Engineering,28.5,287800
23,Male,Bachelor's,Help Desk Technician,1.6,41300
39,Male,Bachelor's,VP of Engineering,19.3,190900
29,Male,Bachelor's,Data Scientist,8.9,114600
27,Female,Master's,Mobile App Developer,4.7,92500
29,Male,PhD,Senior IT Consultant,9.1,143400
28,Female,Bachelor's,Senior Automation Engineer,8.9,120200
34,Female,PhD,Infrastructure Manager,12.2,166100
23,Male,Master's,Junior DevOps Engineer,1.3,41500
23,Male,PhD,Junior Web Developer,1.5,45100
30,Male,Master's,Senior Software Engineer,11.0,157400
33,Female,Master's,Data Scientist,11.8,171200
23,Female,PhD,Data Analyst,4.0,85300
26,Female,Bachelor's,Database Administrator,5.4,96300
25,Female,Bachelor's,Technical Support Engineer,3.8,68800
33,Male,Master's,Senior QA Engineer,11.0,162400
24,Male,PhD,Frontend Developer,4.2,80200
19,Female,Master's,Junior System Administrator,0.4,30600
23,Female,Bachelor's,Junior UI/UX Designer,1.4,42100
26,Female,Master's,Network Engineer,5.4,90500
31,Male,Bachelor's,Senior IT Consultant,11.1,139400
29,Male,Master's,Senior Web Developer,8.6,128000
26,Male,Bachelor's,IT Consultant,5.0,84400
29,Male,Master's,Senior Automation Engineer,7.0,119300
29,Female,PhD,Senior IT Consultant,8.9,140200
26,Male,Master's,Backend Developer,3.2,69800
30,Male,Master's,Cloud Solutions Architect,9.3,125700
22,Female,Bachelor's,Junior Cybersecurity Analyst,1.0,33000
33,Male,Bachelor's,IT Program Manager,12.0,142900
28,Female,Master's,Technical Support Engineer,5.7,105100
24,Male,Bachelor's,Web Developer,2.7,61000
32,Male,Bachelor's,Senior DevOps Engineer,9.4,127500
33,Female,Master's,Senior Data Engineer,10.9,154000
29,Female,Bachelor's,UI/UX Designer,5.7,90600
29,Male,Bachelor's,Platform Engineer,9.2,125600
22,Female,Bachelor's,Junior DevOps Engineer,1.9,45600
24,Male,Bachelor's,IT Business Analyst,5.4,83500
35,Female,Bachelor's,Lead Software Engineer,12.1,139400
21,Female,Bachelor's,Trainee Software Engineer,0.5,29300
26,Female,Bachelor's,Cybersecurity Analyst,6.0,89400
33,Female,Bachelor's,Solutions Architect,14.4,160300
24,Female,Master's,Frontend Developer,3.6,73700
24,Male,Master's,System Administrator,3.9,79800
26,Female,Bachelor's,Mobile App Developer,3.3,60100
32,Male,Bachelor's,Network Manager,12.0,145900
21,Male,PhD,Junior Cloud Support Engineer,0.5,36800
33,Female,Master's,QA Manager,10.9,147700
28,Male,Bachelor's,Technical Support Engineer,5.8,84500
31,Male,Bachelor's,Senior Software Engineer,8.4,116900
20,Female,Bachelor's,Junior Data Analyst,0.7,33200
27,Female,Master's,Business Intelligence Analyst,5.9,96400
32,Female,Master's,Site Reliability Engineer,10.1,149600
32,Female,Master's,Senior DevOps Engineer,9.5,135400
33,Female,PhD,Database Manager,11.6,157100
29,Male,Bachelor's,Senior Mobile App Developer,10.6,132600
35,Female,PhD,Infrastructure Manager,15.5,191000
36,Female,PhD,VP of Engineering,17.3,205600
38,Male,Master's,Director of Engineering,15.5,187700
26,Male,Bachelor's,Automation Engineer,4.7,80400
22,Female,Master's,Web Developer,2.8,57000
32,Male,Master's,Lead DevOps Engineer,12.5,161400
29,Female,Bachelor's,Senior Full Stack Developer,6.8,95000
22,Male,Bachelor's,IT Consultant,3.0,63300
27,Male,Bachelor's,Mobile App Developer,5.2,82100
30,Male,Master's,Senior Database Administrator,7.3,118000
29,Male,Master's,Data Engineer,7.1,115800
22,Male,Bachelor's,Business Intelligence Analyst,2.6,57300
25,Female,PhD,Junior UI/UX Designer,1.9,51800
22,Male,Bachelor's,Technical Support Engineer,2.8,54300
41,Male,Bachelor's,Chief Information Security Officer,21.6,214100
28,Female,Master's,Backend Developer,5.8,99200
23,Female,Master's,Data Analyst,3.2,68700
29,Male,Master's,Senior Software Engineer,8.3,121300
37,Female,Master's,IT Program Manager,17.1,201600
28,Male,Master's,Senior Web Developer,6.2,106200
27,Female,Master's,Data Analyst,4.4,80700
33,Male,PhD,Lead Data Scientist,10.5,145000
26,Male,Master's,Senior Network Engineer,7.0,103500
22,Female,Bachelor's,Web Developer,2.2,49500
33,Female,Bachelor's,Site Reliability Engineer,10.5,145200
32,Female,Master's,IT Project Manager,9.7,151400
27,Male,Bachelor's,Information Security Analyst,7.0,103000
38,Male,Master's,Lead Software Engineer,16.3,182800
27,Female,Bachelor's,Network Engineer,3.8,68700
20,Female,Master's,Junior Data Analyst,1.2,40100
34,Male,Bachelor's,QA Manager,13.6,152600
24,Male,Bachelor's,Help Desk Technician,1.0,36300
22,Female,Bachelor's,IT Support Technician,1.1,35900
28,Female,Bachelor's,Cloud Support Engineer,4.7,78200
22,Male,Master's,IT Consultant,3.3,71100
